"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",-0.01,0.12,-0.03,-0.01,-0.01,0,0.04,-0.03,-0.01,-0.03,-0.03,-0.03,-0.02,-0.01,0.01,0,-0.02,0.01,0.01,0.04,0.06,0.04,0.07,0.13,0.1,0.18,0.21,0.24,0.23,0.31,0.34,0.39,0.43,0.46,0.47,0.52,0.52,0.52,0.52,0.53,0.54,0.53,0.54,0.53,0.52,0.51,0.54,0.53,0.54,0.59,0.6,0.57,0.58,0.62,0.59,0.53,0.58,0.55,0.52,0.51,0.53,0.54,0.5,0.52,0.53,0.52,0.52,0.52,0.52,0.47,0.5,0.51,0.49,0.5,0.5,0.48,0.43,0.45,0.48,0.46,0.47,0.48,0.46,0.4,0.4,0.48,0.46,0.46,0.47,0.46,0.41,0.44,0.49,0.46,0.45,0.45,0.451366666666667,0.399994333333333,0.351080333333333,0.369262,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",-0.03,-0.05,-0.03,-0.01,-0.03,-0.09,0,0.03,0,0.13,0.21,0.3,0.39,0.43,0.55,0.59,0.63,0.62,0.59,0.64,0.72,0.71,0.75,0.73,0.7,0.7,0.68,0.72,0.77,0.76,0.77,0.74,0.71,0.71,0.75,0.78,0.77,0.78,0.77,0.69,0.73,0.79,0.77,0.77,0.79,0.76,0.71,0.71,0.76,0.78,0.77,0.78,0.77,0.69,0.74,0.76,0.77,0.76,0.81,0.74,0.64,0.71,0.74,0.76,0.78,0.74,0.74,0.68,0.67,0.75,0.75,0.74,0.75,0.71,0.63,0.68,0.74,0.75,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",-0.1,-0.07,0,0.03,0.01,-0.02,-0.07,-0.1,-0.12,0,-0.02,-0.04,-0.02,-0.04,-0.13,-0.1,0.05,0.02,0.02,0.05,0.06,0.08,0.13,0.27,0.3,0.39,0.43,0.41,0.39,0.54,0.55,0.53,0.5,0.55,0.53,0.5,0.55,0.54,0.54,0.5,0.52,0.49,0.49,0.52,0.54,0.5,0.53,0.55,0.53,0.46,0.55,0.56,0.54,0.53,0.52,0.55,0.4,0.48,0.51,0.51,0.51,0.52,0.5,0.48,0.43,0.51,0.49,0.54,0.49,0.42,0.28,0.39,0.49,0.51,0.44,0.45,0.45,0.3,0.44,0.48,0.45,0.43,0.5,0.42,0.32,0.5,0.48,0.49,0.41,0.42,0.436809999999999,0.373510666666666,0.337827666666666,0.349107333333333,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",-0.06,-0.01,-0.02,-0.05,-0.05,-0.07,-0.11,-0.11,-0.02,-0.04,0,-0.01,0.01,0,0,0.03,0.07,0.1,0.17,0.26,0.19,0.26,0.41,0.5,0.5,0.59,0.56,0.5,0.59,0.66,0.68,0.7,0.68,0.67,0.63,0.73,0.72,0.69,0.69,0.73,0.74,0.64,0.68,0.69,0.7,0.73,0.75,0.73,0.64,0.69,0.77,0.69,0.7,0.71,0.7,0.7,0.62,0.72,0.72,0.71,0.69,0.72,0.56,0.71,0.74,0.68,0.67,0.7,0.68,0.52,0.55,0.66,0.65,0.66,0.65,0.66,0.61,0.59,0.68,0.65,0.63,0.62,0.62,0.5,0.56,0.64,0.62,0.61,0.59,0.584154666666666,0.462305,0.468889,0.460200666666667,0.587077333333333,0.587077333333333,0.587077333333333,0.587077333333333,0.587077333333333,0.587077333333333,0.587077333333333,0.587077333333333,0.587077333333333,0.587077333333333,0.587077333333333,0.587077333333333,0.587077333333333,0.587077333333333,0.587077333333333,0.587077333333333,0.587077333333333,0.587077333333333,0.587077333333333,0.587077333333333,0.587077333333333,0.587077333333333
"21",-0.01,0,-0.02,0.01,-0.01,-0.03,-0.01,0.03,-0.04,-0.05,0.01,0.02,0.02,0.07,0.13,0.11,0.19,0.28,0.33,0.37,0.41,0.42,0.38,0.45,0.56,0.51,0.58,0.52,0.51,0.53,0.51,0.52,0.6,0.56,0.56,0.54,0.5,0.53,0.55,0.57,0.55,0.58,0.6,0.49,0.55,0.62,0.55,0.53,0.56,0.55,0.5,0.51,0.56,0.56,0.54,0.58,0.59,0.43,0.57,0.56,0.54,0.51,0.62,0.51,0.33,0.46,0.51,0.51,0.57,0.48,0.51,0.42,0.4,0.52,0.49,0.46,0.48,0.45,0.33,0.42,0.5,0.47,0.45,0.44,0.435986,0.379395333333333,0.361736666666666,0.365328,0.437993,0.437993,0.437993,0.437993,0.437993,0.437993,0.437993,0.437993,0.437993,0.437993,0.437993,0.437993,0.437993,0.437993,0.437993,0.437993,0.437993,0.437993,0.437993,0.437993,0.437993,0.437993,0.437993,0.437993,0.437993,0.437993,0.437993
"22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
